"Position","Company","Location","Salary","Timestamp"
Student - Firmware Developer for Industrial Automation,Siemens s.r.o.,Praha – Stodůlky,Not specified,"2022-01-17 09:51:29.000000"
Cloud DevOps Engineer,"Siemens Mobility, s.r.o.",Praha – Stodůlky,Not specified,"2022-01-17 08:43:10.000000"
"Application Developer – C#, .NET - AEROSPACE","Honeywell, spol. s r.o.",Brno – Slatina,Not specified,"2022-01-14 18:25:27.000000"
Software Engineer - Surveillance Systems – C++ - AEROSPACE,"Honeywell, spol. s r.o.",Brno – Slatina,Not specified,"2022-01-14 18:14:40.000000"
Power BI Developer,Deloitte,Praha – Vinohrady,Not specified,"2022-01-14 14:25:56.000000"
Infrastructure Engineer RHEL (Senior),"COMMERZBANK Aktiengesellschaft, pobočka Praha",Praha – Nové Město,Not specified,"2022-01-14 09:51:23.000000"
Analytik Portfolio Managementu,Skupina E.ON,České Budějovice – České Budějovice 7,Not specified,"2022-01-13 15:53:42.000000"
SAP BI Developer - Junior/Senior,"HELLA AUTOTECHNIK NOVA, s.r.o.",Loštice,Not specified,"2022-01-13 15:25:44.000000"
Data Warehouse - Frontend developer,"HELLA AUTOTECHNIK NOVA, s.r.o.",Loštice,Not specified,"2022-01-13 15:25:09.000000"
DevOps Inženýr/specialista,"ČEZ, a. s.",Hradec Králové – Pražské Předměstí + 3 další lokality,Not specified,"2022-01-13 15:03:34.000000"
"Reference System Engineer - Work with LiDAR, dGNSS,...",VALEO PRAHA,Praha – Strašnice,Not specified,"2022-01-13 14:26:17.000000"
Software Engineer in Deutsche Telekom Technik,T-Mobile Czech Republic a.s.,Praha – Chodov,Not specified,"2022-01-13 12:36:16.000000"
DevOps Engineer - R&D Center for Autonomous Driving,VALEO PRAHA,Praha – Strašnice,Not specified,"2022-01-13 11:57:03.000000"
Digitalization Specialista,"KIEKERT-CS, s. r. o.",Pardubice – Staré Čívice,Not specified,"2022-01-12 14:11:42.000000"
AI Engineer for AI Centre (m/f),O2 Czech Republic a.s.,Praha – Michle,Not specified,"2022-01-03 08:27:38.000000"
