"Position","Company","Location","Salary","Timestamp"
"2ND LEVEL SUPPORT","EUROSOFTWARE, s.r.o.",Plzeň – Jižní Předměstí,Not specified,"2022-02-10 14:24:26.000000"
Vývojář her C/C++,KAJOT,Brno – Brněnské Ivanovice,Not specified,"2022-02-10 14:16:48.000000"
Datový Analytik,Process& GmbH,Praha – Karlín,"50 000–62 000Kč","2022-02-10 14:14:46.000000"
Backend programátor/ka pro stránku Seznam.cz,"Seznam.cz, a.s.",Brno,Not specified,"2022-02-10 13:56:53.000000"
Frontend programátor/ka pro stránku Seznam.cz,"Seznam.cz, a.s.",Brno,Not specified,"2022-02-10 13:44:26.000000"
Datový analytik v Heurece,Heureka Group a.s.,Praha – Karlín,Not specified,"2022-02-10 13:14:00.000000"
Senior Trading Analyst (Energy Markets),"Sev.en Commodities AG, odštěpný závod",Praha – Nové Město,Not specified,"2022-02-10 12:43:38.000000"
Product Data Specialist,Resideo,Brno,Not specified,"2022-02-10 12:29:57.000000"
Customer Data Analytik s láskou k pohybu – Praha,SPORTISIMO s.r.o.,Praha – Třebonice,Not specified,"2022-02-10 11:30:21.000000"
Java developer - tiskové řešení se širokým tech stackem,"ARTIN, spol. s r.o.",Brno – Medlánky,Not specified,"2022-02-10 11:10:06.000000"
PROGRAMÁTOR – Front-end,XORUX s.r.o.,okres Olomouc,Not specified,"2022-02-10 11:02:08.000000"
Software Engineer @ BearingPoint,BearingPoint s.r.o.,Praha – Žižkov,Not specified,"2022-02-10 10:58:25.000000"
Senior vývojář pro HbbTV platformu,České Radiokomunikace a.s.,Praha – Břevnov,Not specified,"2022-02-10 10:57:54.000000"
Systémový administrátor (Linux) (7656),"ITjobs, s.r.o.",Brno,Not specified,"2022-02-10 10:57:36.000000"
"IT SPECIALIST ( Data quality, testing, lokalizace)",McDonald's ČR spol. s r. o.,Praha – Jinonice,Not specified,"2022-02-10 10:36:06.000000"
Infrastructure Developer,Ricardo Prague s.r.o.,Praha – Karlín,Not specified,"2022-02-10 10:35:48.000000"
Software Developer,Ricardo Prague s.r.o.,Praha – Karlín,Not specified,"2022-02-10 10:34:55.000000"
Specialista měřící techniky a svazků,in-tech Engineering s.r.o.,Mladá Boleslav – Mladá Boleslav IV,Not specified,"2022-02-10 10:29:32.000000"
Automation Engineer,T-Mobile Czech Republic a.s.,Praha – Chodov,Not specified,"2022-02-10 10:18:17.000000"
C ++ Software Engineer (cloud application) - Remote work,ESET Research Czech Republic s.r.o.,Brno – Starý Lískovec,Not specified,"2022-02-10 10:12:12.000000"
Data Analyst (týmový duch a pozitivní energie vítány),"BILLIGENCE PTY LTD, organizační složka ČR",Praha – Karlín,"40 000–60 000Kč","2022-02-10 09:58:13.000000"
Tester SW,"LinuxBox.cz, s.r.o.",Ostrava,Not specified,"2022-02-10 09:53:41.000000"
C embedded vývojář pro Aerospace,esc Aerospace s.r.o.,Praha – Bubeneč,Not specified,"2022-02-10 09:49:52.000000"
Infrastructure Specialist,SII s.r.o.,Praha – Michle,Not specified,"2022-02-10 09:45:32.000000"
Senior Site Reliability Engineer,Vodafone Czech Republic a.s.,Praha – Stodůlky,Not specified,"2022-02-10 09:43:22.000000"
Junior Data Analyst - efektivita reklamních kampaní,"Omnicom Media Group, s.r.o.",Praha – Nusle,Not specified,"2022-02-10 09:41:48.000000"
Specialista Reverse Engineering,Doosan Škoda Power s.r.o.,Plzeň – Jižní Předměstí,Not specified,"2022-02-10 09:38:09.000000"
Ethical hacker / Penetration tester - senior,TÜV SÜD Czech s.r.o.,Mladá Boleslav – Bezděčín,Not specified,"2022-02-10 09:32:11.000000"
Solution Integration Operations Engineer,Natek,Praha,"80 000–100 000Kč","2022-02-10 09:24:03.000000"
Site Reliability Engineer,Natek,Praha,Not specified,"2022-02-10 09:09:46.000000"
Senior Operations and Support Engineer,Natek,Praha,Not specified,"2022-02-10 09:08:53.000000"
Senior programátor,SECTRON MOBIL s.r.o.,Ostrava – Mariánské Hory,"50 000Kč","2022-02-10 08:55:58.000000"
Senior Software Engineer,Ricardo Prague s.r.o.,Praha – Karlín,Not specified,"2022-02-10 08:49:30.000000"
PLC programátor,"BRANO GROUP, a.s.",Hradec nad Moravicí,Not specified,"2022-02-10 08:15:07.000000"
Mobile Apps Developer - Android or iOS,SII s.r.o.,Praha – Michle,Not specified,"2022-02-10 07:20:16.000000"
Senior Consultant,DHL Information Services (Europe) s.r.o.,Praha – Chodov,Not specified,"2022-02-09 19:08:39.000000"
DevOps engineer (Ž/M) – Praha,"Národní rozvojová banka, a.s.",Praha – Nové Město,Not specified,"2022-02-09 18:47:36.000000"
Server administrator (Linux),Národní úřad pro kybernetickou a informační bezpečnost,Brno – Zábrdovice,Not specified,"2022-02-09 18:45:37.000000"
Data Engineer - International Data HUB,NN Životní pojišťovna a NN Penzijní společnost,Praha – Smíchov,Not specified,"2022-02-09 17:04:43.000000"
Linux Admin,PRO-ZETA a.s.,Praha – Malešice,Not specified,"2022-02-09 16:06:55.000000"
C / C++ Developer (m/ž),Rieter CZ s.r.o.,Ústí nad Orlicí,Not specified,"2022-02-09 15:48:24.000000"
POWER BI SPECIALIST,Atlas Copco Services s.r.o.,Brno – Štýřice,Not specified,"2022-02-09 15:29:15.000000"
Problem Solving Expert EMEA,TE connectivity,Kuřim,Not specified,"2022-02-09 15:19:51.000000"
Tester webových aplikací (MojeID),"CZ.NIC, z.s.p.o.",Praha – Vinohrady,Not specified,"2022-02-09 15:16:19.000000"
IT Consultant - Internship (Tax dpt),"PricewaterhouseCoopers Česká republika, s.r.o.",Praha – Nusle,Not specified,"2022-02-09 15:14:54.000000"
Consultant/SC/Architect for Data & Analytics/AI,BearingPoint s.r.o.,Praha – Žižkov,Not specified,"2022-02-09 14:53:43.000000"
MES Specialist,Hilite Czech s.r.o.,Ostrava – Hrabová,Not specified,"2022-02-09 14:47:17.000000"
Linux admin,"Česká spořitelna, a.s.",Praha – Krč,"70 000–90 000Kč","2022-02-09 14:44:48.000000"
Software engineer C++,Rockwell Automation s.r.o.,Praha – Holešovice,Not specified,"2022-02-09 14:44:44.000000"
Pojistný matematik neživotního pojištění s osvědčením,"Colonnade Insurance S.A., organizační složka",Praha – Nusle,Not specified,"2022-02-09 14:09:23.000000"
Pojistný matematik neživotního pojištění s praxí,"Colonnade Insurance S.A., organizační složka",Praha – Nusle,Not specified,"2022-02-09 13:59:50.000000"
IT Administrátor/ka - Senior,AntHill s.r.o.,Zdiby,"50 000–100 000Kč","2022-02-09 13:53:57.000000"
IT Administrátor,"3Pillar Global Czechia",Brno – Komárov,Not specified,"2022-02-09 13:36:59.000000"
Cloud Architect - Azure,"ADASTRA, s.r.o.",Praha,Not specified,"2022-02-09 13:36:45.000000"
